Iter,MPI_error,Jacobi_error,GaussSeidel_error,Chebyshev_error
125,15.085886,16.469715,7.891578,7247893109414716598074930774853980251735052873421883492752749424913747104274246124918128399231269220591376294746259456.000000
126,14.985533,16.269174,7.729402,64670496136051777156752629412956967457047283583290430203873457679325036362944918175340866874392692319434695021026082816.000000
127,14.885746,16.074317,7.571381,577057720567592638254486392433278619429824339000399807454627335207243437003724549643324123142938226711198417860664754176.000000
128,14.786530,15.864116,7.416444,5149331397528392873040449014817524032275803119330722154130852124003425725545998131887831305197238953529013941682395152384.000000
129,14.687892,15.687720,7.264537,45963674319020217268439229156121083263500858547619022511733835567716677177832793843273283320740397221793951043120946741248.000000
130,14.589837,15.468838,7.115607,410554294020220461835443554043275606686138918712735368988547673217997022846615763247696868397219227246504588406040075173888.000000
131,14.492368,15.309817,6.969599,3667235060856758079281139431826975896883638101818696087388695908476415161466485308457590881834545200214685030380205544308736.000000
132,14.395491,15.099645,6.827175,32758136581623817664740562645857128107004888285583027680466416334609404805496519891229145120962388311136371894663830160015360.000000
133,14.299208,14.940492,6.687835,292625333135819640062886026043591534536897808721035823005645932647737910982581579964544826227517852694948541146755265871216640.000000
134,14.203522,14.746852,6.551224,2614068345007686127235550602477736788596583735316126110646662667355424815509680448457822361939239044758780236110106730961043456.000000
135,14.108437,14.579620,6.417293,23352545716551593915615151338723936686044614675466984786105745129090165010268395993094930599918961651163898109837029155666919424.000000
136,14.014502,14.401626,6.285993,208623769019235298455079950024595874613601286737099934396858315044148786700225942345961147201226666095502355676424955007676186624.000000
137,13.930041,14.227074,6.157336,1863826965045593567976702168392816280310306404260605959986425302998850945953938218302820954751720492100416279109256816954647248896.000000
138,13.845954,14.063878,6.031969,16651740041541613425763632396159685469037333299416199920502534461609213624848092372755981916335989971770917957498221197949120020480.000000
139,13.762247,13.882717,5.909059,148773595870588120975825669614508162653365425040686730537052532220523490416431811848046980731099793096182818111248436956980112785408.000000
140,13.678926,13.733513,5.788564,1329242685574295128638046600501042319822130207088193722674144835100299469806689405008775498668933436758707982737423679131853996949504.000000
141,13.595996,13.546412,5.670438,11876674451197499895424536987619430695251146662892563017321211139027939708535025578728761392179348290986410393590281908334730514792448.000000
142,13.513462,13.410430,5.554638,106120075314965534197563307813453234115730467859137547424652044091774612451407058827184076821088581287161221401104073687777221204246528.000000
143,13.431329,13.235564,5.441327,948227046983774719314873535009612697382888763061396344764225453050610917737324303955554776863338297061868174364698170914399740904865792.000000
144,13.349601,13.094522,5.330702,8473038622764573450842857764504758661172631118085323769355637735470802115973930667890556041257988134842604650172117756834678612934262784.000000
145,13.268282,12.932276,5.222252,75714324998905753606432367877020661064376716074208428057971323779298347350864282575531188875803060089708868676790125746229301226036527104.000000
146,13.187376,12.785682,5.115936,676595192110620385920586898044430075441132303502787572019642660707524097750074865238779003027942053487828848304570299402455617965419134976.000000
